LONGITUDE,LATITUDE,FLT_PLAN_ID
-73.53333333,40.8,FP_00061
-72.9,41.23333333,FP_00061
-71.11666667,41.85,FP_00061
-71.0,42.36666667,FP_00061
-95.33333333,29.98333333,FP_00062
-95.96666667,31.11666667,FP_00062
-96.21666667,32.18333333,FP_00062
-96.23333333,33.53333333,FP_00062
-98.0,35.8,FP_00062
-94.48333333,38.26666667,FP_00062
-92.6,40.13333333,FP_00062
-90.63333333,41.31666667,FP_00062
-88.31666667,41.55,FP_00062
-86.11666667,42.15,FP_00062
-83.6,42.41666667,FP_00062
-79.11666667,42.18333333,FP_00062
-73.8,42.75,FP_00062
-71.03333333,42.45,FP_00062
-70.95,42.26666667,FP_00062
-71.0,42.36666667,FP_00062
-95.33333333,29.98333333,FP_00063
-92.75,33.25,FP_00063
-89.98333333,35.01666667,FP_00063
-84.05,36.95,FP_00063
-81.11666667,37.78333333,FP_00063
-78.15,38.01666667,FP_00063
-76.06666667,39.05,FP_00063
-74.11666667,40.55,FP_00063
-73.76666667,40.63333333,FP_00063
-72.9,41.23333333,FP_00063
-71.11666667,41.85,FP_00063
-71.0,42.36666667,FP_00063
-95.33333333,29.98333333,FP_00064
-93.18333333,32.7,FP_00064
-92.03333333,32.51666667,FP_00064
-86.31666667,32.21666667,FP_00064
-84.16666667,33.65,FP_00064
-82.15,34.25,FP_00064
-77.01666667,36.71666667,FP_00064
-75.51666667,38.35,FP_00064
-75.11666667,39.3,FP_00064
-73.53333333,40.8,FP_00064
-72.9,41.23333333,FP_00064
-71.11666667,41.85,FP_00064
-71.0,42.36666667,FP_00064
-95.33333333,29.98333333,FP_00065
-90.95,30.11666667,FP_00065
-88.36666667,30.73333333,FP_00065
-86.31666667,32.21666667,FP_00065
-83.31666667,33.95,FP_00065
-77.01666667,36.71666667,FP_00065
-75.51666667,38.35,FP_00065
-75.11666667,39.3,FP_00065
-73.53333333,40.8,FP_00065
-72.9,41.23333333,FP_00065
-71.11666667,41.85,FP_00065
-71.0,42.36666667,FP_00065
-95.33333333,29.98333333,FP_00066
